From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Line R (pu),Line X (pu),Charging B (pu),RATE1 (I as MVA),RATE2 (I as MVA),RATE3 (I as MVA),Length,R-Zero (pu),X-Zero (pu),B-Zero (pu),Zbase,R (ohm),X (ohm),Charging B (ohm),R-Zero (ohm),X-Zero (ohm),B-Zero (ohm)
15413,KEIT1K      132.00,17312,MACD1R      132.00,1,,0.0384,0.088,0.0187,132,123,106,37.77,0.0882,0.2456,0,174.24,6.691,15.333,,15.368,42.793,
15430,KEIT3-      33.000,15431,KEIT3A      33.000,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,10.89,0.001,0.001,,0.001,0.001,
15430,KEIT3-      33.000,50431,EDNT3-      33.000,1,,0.0543,0.0472,0,29.4,26.7,26.7,4.55,0.0543,0.0472,0,10.89,0.591,0.514,,0.591,0.514,
15430,KEIT3-      33.000,56330,SPCH3-      33.000,1,,0.0072,0.0104,0,29.4,28.8,26.7,1,0.0072,0.0104,0,10.89,0.078,0.113,,0.078,0.113,
15430,KEIT3-      33.000,100531,LUHI3-      33.000,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,10.89,0.001,0.001,,0.001,0.001,
15431,KEIT3A      33.000,27031,HITO3-      33.000,1,,0.0073,0.0097,0,38.3,37.5,34.8,9,0.0073,0.0097,0,10.89,0.079,0.106,,0.079,0.106,
15431,KEIT3A      33.000,27031,HITO3-      33.000,2,,0.0073,0.0097,0,38.3,37.5,34.8,9,0.0073,0.0097,0,10.89,0.079,0.106,,0.079,0.106,
15510,KERG1-      132.00,23911,SHET1J      132.00,1,,0.0001,0.0011,0,720,720,720,0,0.0059,0.0176,0.0008,174.24,0.017,0.192,,1.028,3.067,
15510,KERG1-      132.00,101817,KERG1DC     132.00,1,,0.0001,0.0001,0.00298,370,370,370,0.17,0.0001,0.0001,0.00298,174.24,0.017,0.017,,0.017,0.017,
15510,KERG1-      132.00,101817,KERG1DC     132.00,2,,0.0001,0.0001,0.00298,370,370,370,0.17,0.0001,0.0001,0.00298,174.24,0.017,0.017,,0.017,0.017,
15511,KERG1J      132.00,15512,KERG1K      132.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
15511,KERG1J      132.00,15513,KERG1L      132.00,1,,0.000359,0.004662,0.1053,272,272,272,5.85,0.0021,0.00168,0.1053,174.24,0.063,0.812,,0.366,0.293,
15511,KERG1J      132.00,15516,KERG1P      132.00,1,,0.0001,0.0001,0.00149,234,234,234,0.09,0.0001,0.0001,0.00149,174.24,0.017,0.017,,0.017,0.017,
15511,KERG1J      132.00,15517,KERG1Q      132.00,1,,0.0001,0.000137,0.00241,234,234,234,0.15,0.0001,0.0001,0.00241,174.24,0.017,0.024,,0.017,0.017,
